"Actions","动作"
"An error occurred while marking notification as read.","标记通知已读时发生错误"
"An error occurred while marking the messages as read.","标记消息已读时发生错误"
"An error occurred while removing messages.","删除消息时发生错误"
"An error occurred while removing the message.","删除消息时发生错误"
"Are you sure?","确定?"
"Date Added","增加日期"
"Last Update","最近更细"
"Mark as Read","标记已读"
"Mark as read","标记已读"
"Message","消息"
"Messages Inbox","消息盒"
"Notifications","通知"
"Please select messages.","请选择消息"
"Read Details","详细阅读"
"Remove","移除"
"Severity","严重"
"Show List","显示列表"
"Show Toolbar","显示工具栏"
"The message has been marked as read.","消息已经被标记已读"
"The message has been removed.","消息已经被删除"
"Total of %d record(s) have been marked as read.","共有 %d 条被标记已读"
"Total of %d record(s) have been removed.","共有 %d 条被删除"
"Unable to proceed. Please, try again.","无法进行,请再次尝试."
"Update Frequency","更新频率."
"Use HTTPS to Get Feed","使用HTTPS获取Feed"
"critical","危险"
"major","重要"
"minor","次要"
"notice","注意"
