" The customer does not exist in the system anymore.",," 该客户已不存在"
" [deleted]"," [已经删除]"
" and "," 以及 "
" note that the URLs provided below are the correct values for your current website): "," 注意,这些连接中携带的值显示了你当前所在的站点): "
"%s (Default Template from Locale)","%s (默认的模板)"
"%s cache type(s) disabled.","%s 禁用缓存."
"%s cache type(s) enabled.","%s 激活缓存."
"%s cache type(s) refreshed.","%s 刷新缓存."
"(Absolute path or Relative to Magento install root, ex. var/export)","(绝对路径或者相对于Magento安装根目录，例如 var/export)"
"(For US 2-letter state names)","(2个字母的省份名(适用于美国))"
"(If left empty will be auto-generated)","(如果留空将自动生成)"
"(Leave empty for first spreadsheet)","(留空为第一个电子表)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(如果导入文件中'商店'栏目为空或者缺少，商品将被增加/更新到该商店。)"
"(Shift-)Click or drag to change value","(Shift-)单击或者拖动以变更取值"
"(Starting with)","(开头)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(为'否'时，仅导入映射字段。当映射时，用'column1'、'column2'等。)"
"(You have to increase php memory_limit before changing this value)","（修改该值之前您必须先增加 php 的 memory_limit 设置值）"
"(\\t for tab)","(\\t 为制表符)"
"* - If indexing is in progress, it will be killed and new indexing process will start","* - 将终止已有的索引进程并启动新的索引进程。"
"- Click on any of the time parts to increase it","- 点击时间任意部分可以使其递增"
"- Hold mouse button on any of the above buttons for faster selection.","- 在上述按钮上长按鼠标以快速选择"
"- Use the %s buttons to select month","- 使用 %s 按钮选择月份"
"- Use the %s, %s buttons to select year","- 使用 %s, %s 按钮选择年份"
"- or Shift-click to decrease it","- 或者按住 Shift 并点击使其递减"
"- or click and drag for faster selection.","- 或者点击并拖动以快速选择。"
"-- Not Selected --","-- 没有被选择过 --"
"-- Please Select --","-- 请选择 --"
"-- Please Select Billing Agreement--","-- 请选择账单协议--"
"-- Please Select a Category --","-- 请选择一个分类 --"
"-- Please select --","-- 请选择 --"
"--Please Select--","--请选择--"
"1 Hour","1小时"
"10:40 AM","10:40 早上"
"12 Hours","12小时"
"12h AM/PM","12小时 AM/PM"
"2 Hours","2小时"
"24 Hours","24小时"
"24h","24小时"
"2YTD","去年开始"
"6 Hours","6 小时"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 错误</h1><p>没找到页面。</p>"
"A new password was sent to your email address. Please check your email and click Back to Login.","一个新的密码已经发送到您的电子邮件。请查收您的电子邮件然后回到登陆页面"
"A user with the same user name or email aleady exists.","一个用户的用户名或者邮箱地址已经存在."
"API Key","API 密钥"
"API Key Confirmation","API 密钥确认"
"Abandoned Carts","已经遗弃的购物车"
"About the calendar","关于本日历"
"Access Denied","访问被拒绝。"
"Access denied","拒绝访问"
"Access denied.","拒绝访问."
"Account Created in:","帐号创建于："
"Account Created on (%s):","帐号创建于 (%s):"
"Account Created on:","帐号创建日期："
"Account Information","帐号信息"
"Account Status","账户状态"
"Account status","帐号状态"
"Action","操作"
"Actions","批量操作"
"Actions XML","批量操作 XML"
"Activate","激活"
"Active","激活"
"Add","增加"
"Add Contents Path","添加内容路径"
"Add Exception","添加例外"
"Add Field Mapping","添加字段映射"
"Add Field with URL:","增加网址栏："
"Add More Templates","增加更多模板"
"Add New Image","增加新的图像"
"Add New Profile","增加新的配置文件"
"Add New Role","增加新的角色"
"Add New Template","增加新的模板"
"Add New URL Rewrite","增加新的网址重写"
"Add New User","增加新用户"
"Add New Variable","增加新变量"
"Add New osCommerce Profile","添加新的osCommerce属性"
"Add PHP Extension dependency","添加PHP扩展依赖"
"Add Package dependency","添加安装包依赖"
"Add URL Rewrite","添加网址重写"
"Add URL Rewrite for a Category","添加分类网址重写"
"Add URL Rewrite for a Product","添加商品网址重写"
"Add after","在此后添加"
"Add to Cart","添加到购物车"
"Add to Wishlist","添加到收藏夹"
"Additional Cache Management","添加额外的缓存管理"
"Address Type:","地址类型："
"Admin","管理员"
"Advanced Admin Section","高级管理员单元"
"Advanced Profiles","高级配置文件"
"Advanced Section","高级单元"
"AirMail Template Preview","航空邮件模板预览"
"All","所有"
"All Allowed Countries","允许所有国家"
"All Cache","所有缓存"
"All Files","所有文件"
"All Reviews","所有评论"
"All Store Views","所有商店界面"
"All Tags","所有标签"
"All Websites","所有网站"
"All countries","所有国家"
"All fields","所有字段"
"All possible rates were fetched, click on ""Save"" to apply","已获取所有可能的汇率，点击""保存""接受"
"All rates were fetched, click on ""Save"" to apply","已获取所有汇率，点击""保存""接受"
"All valid rates have been saved.","成功保存所有有效的汇率"
"Amounts","金额"
"An error has occured while syncronizing media storages.","同步多媒体存储器时发生错误."
"An error occurred while clearing the JavaScript/CSS cache.","清除javascript/css缓存时发生错误."
"An error occurred while clearing the image cache.","清除图片缓存时发生错误."
"An error occurred while creating the backup.","创建备份时发生错误."
"An error occurred while deleting email template data. Please review log and try again.","删除邮件模板数据时发生错误,请查看日志文件并再次尝试."
"An error occurred while deleting this role.","删除角色时发生错误."
"An error occurred while deleting this set.","删除这个设置时发生错误."
"An error occurred while deleting this template.","删除这个模板时发生错误."
"An error occurred while finishing process. Please refresh the cache","结束进程时发生错误,请刷新缓存"
"An error occurred while rebuilding the CatalogInventory Stock Status.","重建目录库存状态时发生错误."
"An error occurred while rebuilding the catalog index.","重建目录索引时发生错误."
"An error occurred while rebuilding the flat catalog category.","重建flat catalog category时发生错误."
"An error occurred while rebuilding the flat product catalog.","重建flat product catalog时发生错误."
"An error occurred while rebuilding the search index.","重建搜索索引时发生错误."
"An error occurred while refreshing the Catalog Rewrites.","重建目录重写时发生错误."
"An error occurred while refreshing the Layered Navigation indices.","重建层导航索引时发生错误."
"An error occurred while refreshing the catalog rewrites.","重建目录重写时发生错误."
"An error occurred while refreshing the layered navigation indices.","重建层导航时发生错误."
"An error occurred while saving account.","保存账户时发生错误."
"An error occurred while saving the customer.","保存客户时发生错误."
"An error occurred while saving this configuration:","保存这个配置时发生错误:"
"An error occurred while saving this role.","保存这个角色时发生错误."
"An error occurred while saving this template.","报错这个模板时发生错误."
"An error occurred while updating the selected review(s).","更新选择的评论时发生错误."
"Any","任意"
"Any Attribute Set","任意属性集"
"Any Group","任意分组"
"Any Status","任意状态"
"Any Store","任意商店"
"Any Type","任意类型"
"Any Visibility","任意可见性"
"Apply Theme","应用主题"
"Archive file name:","存档文件名："
"Are you sure that you want to delete this template?","您确认要删除该模板吗？"
"Are you sure that you want to strip tags?","您确认要删除标签吗？"
"Are you sure you want to do this?","您确认要这么做吗？"
"Area","区域"
"As low as:","最低:"
"Assigned","指定"
"Associated Tags","相关标签"
"Attribute Set Name:","设置属性名:"
"Attributes","属性集"
"Authors","作者"
"Automatic","自动"
"Available Products","可用商品"
"Average Order Amount","平均每个订单价格"
"Average Orders","平均订单"
"Back","返回"
"Back to Login","返回登录"
"Backup","备份"
"Backup record was deleted.","备份记录已删除"
"Backups","备份"
"Base currency","基准货币"
"Bcc","暗送"
"Bestsellers","畅销商品"
"Big Image","大图片"
"Billing Address","账单地址"
"Billing Address: ","账单地址"
"Billing Agreement","账单协议"
"Billing Agreements","账单协议"
"Block Information","方框信息"
"Both (without and with tax)","同时 (无论是否含税)"
"Both IPN and PDT","IPN 和 PDT"
"Browse Files...","浏览文件..."
"Bundle Items","包裹物品"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","具有动态价格的包裹不能含有自定选项。选项设置不会被保存。"
"CMS","CMS"
"CRITICAL","重要"
"CSV","CSV"
"CSV / Tab separated","CSV/Tab 分割"
"Cache Control","缓存控制"
"Cache Control (beta)","缓存控制 (测试版)"
"Cache Management","缓存管理"
"Cache Type","缓存类型"
"Cancel","取消"
"Cancel URL: ","取消链接: "
"Cannot add new comment.","无法添加新评论"
"Cannot add tracking number.","无法添加新运单号"
"Cannot create an invoice without products.","不能创建这个产品的发票."
"Cannot create credit memo for the order.","无法为此订单创建退款记录"
"Cannot delete the design change.","不能删除设计更改."
"Cannot delete tracking number.","不能删除跟踪号."
"Cannot do shipment for the order separately from invoice.","无法单独根据发票为订单生成运输"
"Cannot do shipment for the order.","无法为此订单做运输"
"Cannot find the email address.","这不到这个邮件地址."
"Cannot initialize shipment for adding tracking number.","无法为增加订单号生成运输"
"Cannot initialize shipment for delete tracking number.","无法为删除订单号生成运输"
"Cannot load track with retrieving identifier.","无法使用获得的标志符加载跟踪记录"
"Cannot retrieve tracking number detail.","无法获取订单号详细资料"
"Cannot save shipment.","无法保存运输"
"Cannot save the credit memo.","不能保存付款通知."
"Cannot send shipment information.","无法发送运输资料"
"Cannot update item quantity.","不能更新产品数量."
"Cannot update the item\'s quantity.","不能更新产品总数量."
"Card Verification Number","信用卡验证号码""Cannot retrieve tracking number detail."
"Carrier","运输公司"
"Catalog","目录"
"Catalog Price Rules","目录价格规则"
