" and ","以及"
" note that the URLs provided below are the correct values for your current website): "," 请注意，以下所提供的URL是您当前站点的正确路径: "
"(Absolute path or Relative to Magento install root, ex. var/export)","(绝对路径或者相对于Magento安装根目录，例如 var/export)"
"(For US 2-letter state names)","(2个字母的省份名(适用于美国))"
"(If left empty will be auto-generated)","(如果留空将自动生成)"
"(Leave empty for first spreadsheet)","(留空为第一个电子表)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(如果导入文件中'商店'栏目为空或者缺少，商品将被增加/更新到该商店。)"
"(Shift-)Click or drag to change value","(Shift-)单击或者拖动以更改取值"
"(Starting with)","(开头)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(为'否'时，仅导入映射字段。当映射时，用'column1'、'column2'等。)"
"(You have to increase php memory_limit before changing this value)","（修改该值之前您必须先增加 php 的 memory_limit 设置值）"
"(\\t for tab)","(\\t 为制表符)"
"- Click on any of the time parts to increase it","- 点击时间任意部分可以使其递增"
"- Hold mouse button on any of the above buttons for faster selection.","- 在上述按钮上长按鼠标以快速选择"
"- Use the %s buttons to select month","- 使用 %s 按钮选择月份"
"- Use the %s, %s buttons to select year","- 使用 %s, %s 按钮选择年份"
"- or Shift-click to decrease it","- 或者按住 Shift 并点击使其递减"
"- or click and drag for faster selection.","- 或者点击并拖动以快速选择。"
"-- Please Select Billing Agreement--","-- 请选择帐单协议--"
"10:40 AM","10:40 AM"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"About the calendar","关于本日历"
"Access denied.","访问被拒绝"
"Account Created in:","帐户创建于："
"Account Created on (%s):","帐户创建于 (%s)："
"Account Created on:","帐户创建日期："
"Action","操作"
"Actions","操作"
"Activate","激活"
"Add Contents Path","添加内容路径"
"Add Field with URL:","添加网址栏："
"Add More Templates","添加更多模板"
"Add New Role","添加新角色"
"Add New User","添加新用户"
"Add PHP Extension dependency","添加PHP扩展依赖"
"Add Package dependency","添加安装包依赖"
"Add to Cart","添加到购物车"
"Add to Wishlist","添加到期望列表"
