"--Please Select--","--请选择--"
"API Login ID","API登陆ID"
"Accepted Currency","接受的货币"
"Authorize.net Direct Post","Authorize.net Direct Post"
"Card Verification Number","信用卡验证号码"
"Card Verification Number Visual Reference","验证码参考号码"
"Close","关闭"
"Credit Card Information","信用卡信息"
"Credit Card Number","信用卡号"
"Credit Card Type","信用卡类型"
"Credit Card Types","信用卡类型"
"Credit Card Verification","信用卡验证"
"Debug","调试"
"Email Customer","客户电子邮件"
"Enabled","激活"
"Expiration Date","失效日期"
"Gateway URL","网关地址"
"Maximum Order Total","最大订单数"
"Merchant MD5","Merchant MD5"
"Merchant's Email","Merchant's Email"
"Minimum Order Total","最小订单数"
"New Order Status","新订单状态"
"Order saving error: %s","订单保存错误: %s"
"Payment Action","付款动作"
"Payment authorization error.","付款授权错误."
"Payment authorization error. Transacion id is empty.","付款授权错误. 交易ID为空."
"Payment error. Order was not found.","付款错误. 订单没有被找到."
"Payment error. Paid amount doesn\'t match the order amount.","付款错误. 支付金额不匹配."
"Payment from Applicable Countries","付款从这些可用的国家"
"Payment from Specific Countries","指定国家付款"
"Please, choose payment method","请选择付款方式"
"Response hash validation failed. Transaction declined.","验证失败."
"Sort Order","订单排序"
"Test Mode","测试模式"
"The order has been created.","订单已经被创建."
"There was an error processing your order. Please contact us or try again later.","处理您的订单时发生一个错误,请联系我们或者稍后再尝试."
"Title","标题"
"Transaction Key","交易密钥"
"What is this?","这是什么?"
"You will be required to enter your payment details before you place an order.","您将需要输入您的付款细节，然后再下订单."
