"Action","操作"
"An error occurred while writing to the backup file ""%s"".","无法读写备份文件""%s"""
"Backup file ""%s"" cannot be read from or written to.","备份文件 ""%s"" 无法读出或写入。"
"Backup file ""%s"" does not exist.","备份文件""%s""不存在。"
"Backup file does not exist.","备份文件不存在。"
"Backup file handler was unspecified.","未指定备份文件句柄"
"Backup file path was not specified.","未指定备份文件路径"
"Backups","备份"
"Cannot read backup file.","无法读取备份文件。"
"Create Backup","生成备份"
"DB","数据库"
"Database was successfuly backed up.","成功备份数据库"
"Download","下载"
"Size, Bytes","大小，字节"
"The file was compressed with Zlib, but this extension is not installed on server.","文件用Zlib压缩，但是服务器上没有安装这个模块"
"Time","时间"
"Type","类型"
"Unable to create backup. Please, try again later.","无法生成备份，请稍后重试。"
"Wrong order of creation for new backup.","生成新的备份次序错误"
