"%s","%s"
"%s already exist.","%s 已存在"
"%s already exists.","%s 已存在"
"-- Please Select --","-- 请选择 --"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">错误！</strong> 当使用的CDN，在某些情况下可能无法正常运行的JavaScript，如果CDN是不是在你的子域名"
"A category object is required for determining the product request path.","类对象需要对产品的要求确定的路径。"
"Add Block Names to Hints","在提示信息中增加区块名称"
"Add Secret Key to URLs","增加密钥到URL地址"
"Add Store Code to Urls","网址中加入商店码"
"Admin","管理员选项"
"Admin Base URL","管理基准 URL"
"Admin User Emails","管理用户邮件"
"Advanced","高级"
"Allow Countries","允许国家"
"Allowed IPs (comma separated)","允许的IP地址（多个记录用逗号分开）"
"Allowed file types: ICO, PNG, GIF, JPEG, APNG, SVG. Not all browsers support all these formats!","允许的文件类型：ICO, PNG, GIF, JPEG, APNG, SVG. 不是所有的浏览器支持这些格式！"
"Allows customers to stay logged in when switching between different stores.","使客户能够留在登录时不同的商店之间切换."
"Alternative text for next link in pagination menu. If empty, default arrow image will used","替代文字在分页菜单下一个环节。如果为空，将使用默认的箭头形象"
"Alternative text for previous link in pagination menu. If empty, default arrow image will used","替代文字在分页菜单上的联系。如果为空，将使用默认的箭头形象"
"An error occurred while saving. Please review the error log.","保存的时候发生错误，请查看错误日志。"
"Anchor Text for Next","锚文本的下一步"
"Anchor Text for Previous","锚文的上一步"
"Anchor symbol (#) is not supported in request path","锚符号（＃）是不支持请求的路径"
"Anchor symbol (#) is not supported in url rewrite suffix","锚符号（＃）是不支持后缀URL重写"
"Are you sure?","你确定?"
"Auto-redirect to Base URL","自动重定向到相应的网址"
"Back","返回"
"Backup Options","备份选项"
"Base JavaScript URL","基准 JavaScript 网址"
"Base Link URL","基准链接网址"
"Base Media URL","基准媒体网址"
"Base Skin URL","基准皮肤网址"
"Base URL","基准网址"
"Before modifying the store view code please make sure that it is not used in index.php.","在修改商店界面代码前，请确认没有在 index.php 中使用。"
"Before modifying the website code please make sure that it is not used in index.php.","在修改网站代码前，请确认没有在 index.php 中使用。"
"Block with name ""%s"" already exists","方框""%s""已存在"
"Browser Capabilities Detection","浏览器功能检测"
"CSS Settings","CSS设置"
"Cache Storage Management","缓存存储管理"
"Cache storage may contain additional data. Are you sure that you want flush it?","缓存储存可以包含其他数据. 你确定刷新?"
"Can't retrieve request object","无法获取请求的对象"
"Cancel","取消"
"Cannot complete this operation from non-admin area.","无法在非管理区完成此操作。"
"Cannot retrieve entity config: %s","无法获取实体配置：%s"
"Card type does not match credit card number.","信用卡类型与信用数字不符。"
"Code","代码"
"Controller file was loaded but class does not exist","控制文件已加载但类不存在"
"Cookie Domain","Cookie 域"
"Cookie Lifetime","Cookie 时效"
"Cookie Path","Cookie 路径"
"Copyright","版权信息"
"Countries Options","国家选项"
"Create Store","新建商店"
"Create Store View","新建商店界面"
"Create Website","新建网站"
"Credit card number does not match credit card type.","信用卡数字与信用卡类型不符。"
"Current Package Name","当前安装包名称"
"Custom Admin URL","自定义管理 URL"
"Custom Design","客户定制"
"Custom Email 1","自定义邮件一"
"Custom Email 2","自定义邮件二"
"Custom Variables","自定义变量"
"Customer Support","客户服务"
"Dashboard","控制面板"
"Date From","开始日期"
"Date To","结束日期"
"Date/time format ""%s"" is not supported.","不支持日期/时间格式 ""%s""."
"Debug","调试"
"Default","缺省"
"Default Country","默认国家"
"Default Description","默认描述"
"Default Keywords","默认关键字"
"Default No-route URL","默认 No-route URL"
"Default Pages","默认页面"
"Default Robots","默认机器人设置"
"Default Store","默认商店"
"Default Store View","默认商店界面"
"Default Title","默认标题"
"Default Web URL","默认网址"
"Delete","删除"
"Delete Store","删除商店"
"Delete Store View","删除商店界面"
"Delete Website","删除网站"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","删除 %1$s 不会删除与 %1$s 相关的信息（例如类别，商品等），但是 %1$s 被删除后无法恢复。建议删除 %1$s 之前先生成一个数据库备份。"
"Design","设计"
"Design Change","界面设计"
"Developer","开发者选项"
"Developer Client Restrictions","开发者客户端限制"
"Disable Email Communications","禁用电子邮件"
"Disable Modules Output","模块配置"
"Display Demo Store Notice","展示演示店铺提示"
"Duplicate Of Template Name","模板名称重复"
"Edit Design Change","修改界面设计"
"Edit Store","修改商店"
"Edit Store View","修改商店界面"
"Edit Website","修改网站"
"Empty identifier field name","标识字段名为空"
"Empty main table name","主数据表名为空"
"Enable Charts","启用Charts"
"Enable Prototype Deprecation Log","启动原型折旧日志"
"Enabled","启用"
"Enabled for Admin","在管理界面中启用"
"Enabled for Frontend","在前台启用"
"Error in file: ""%s"" - %s","文件：""%s"" - %s 错误"
"Error: Passwords do not match","错误：两次密码输入不一致。"
"Exceptions Log File Name","异常日志文件名"
"Favicon Icon","Favicon Icon"
"File %s does not exist","文件%s不存在"
"File %s is not readable","文件%s无法读取"
"File system","文件系统"
"First Day of Week","周起始日"
"Flush Cache Storage","刷新缓存储存"
"Flush Magento Cache","刷新Magento缓存"
"Footer","页脚"
"Forgot Password Email Sender","忘记密码的电子邮件发件人"
"Forgot Password Email Template","忘记密码的电子邮件模板"
"General","基本"
"General Contact","联系人"
"General Settings","基本设置"
"Global","全站"
"HTML Head","HTML 头信息"
"Header","页眉"
"Host","主机"
"How many links to display at once.","有多少连接显示一次。"
"ID Path for Specified Store","指定商店的编号路径"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value","如果当前帧的位置并不包括至上页, 将提供链接到当前位置正/负值"
"Incorrect credit card expiration date.","信用卡失效日期有误。"
"Invalid base url type","基准网址类型无效"
"Invalid block name to set child %s: %s","无效块名称设置子 %s: %s"
"Invalid block type: %s","方框类型不正确：%s"
"Invalid block: %s","方框不正确：%s"
"Invalid layout update handle","不正确的布局更新句柄"
"Invalid messages storage ""%s"" for layout messages initialization","版面初始信息的""%s""信息存储不正确"
"Invalid transactional email code: ","交易邮件代码不正确："
"Invalid website\'s configuration path: %s","网站配置路径不正确：%s"
"JavaScript Settings","JavaScript设置"
"Layout","布局"
"Leave empty for access from any location.","放空则允许从任何位置访问。"
"Locale","语言"
"Locale Options","本地化选项"
"Log Settings","日志选项"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","来自 Mage::log() 的日志。文件位于 {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","来自 Mage::logException() 的日志。文件位于  {{base_dir}}/var/log"
"Login is Case Sensitive","登陆区分大小写"
"Logo Image Alt","Logo 替代文字"
"Logo Image Src","Logo 图片源"
"Mail Sending Settings","邮件发送设置"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","确保URL结尾 '/' (slash),例如http://yourdomain/magento/"
"Manage Stores","管理商店"
"Match expressions in the same order as displayed in the configuration.","以配置界面显示顺序匹配表达式。"
"Maximum length exceeded.","超过允许的最大长度"
"Media Storage","媒体存储"
"Merge CSS Files","合并CSS文件"
"Merge JavaScript Files","合并JavaScript文件"
"Miscellaneous HTML","自定义 HTML"
"Miscellaneous Scripts","各种脚本"
"Model class does not exist: %s.","型号类不存在：%s"
"Model collection resource name is not defined.","型号组合资源名未定义"
"Module ""%1$s"" cannot depend on ""%2$s"".","模块""%1$s""不能依""%2$s""而定"
"Module ""%1$s"" requires module ""%2$s"".","模块""%1$s"" 依赖模块 ""%2$s"""
"Name","名称"
"New Design Change","新界面设计"
"New Store","新商店"
"New Store View","新商店界面"
"New Website","新网站"
"No","否"
"Package","安装包"
"Pagination","分页"
"Pagination Frame","分页框架"
"Pagination Frame Skip","跳过分页框架"
"Parent directory does not exist: %s","父目录不存在：%s"
"Please choose to register or to checkout as a guest","请选择注册或者以访客身份注册。"
"Please define flag code.","请定义标志代码"
"Please enter 6 or more characters.","请输入6个或更多字符。"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","请输入6个或更多字符，前后空格将被忽略。"
"Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.","请输入7个或多个字符。密码应该包含数字和字母字符。"
"Please enter a number 0 or greater in this field.","请在此栏输入0以上数字。"
"Please enter a number greater than 0 in this field.","请在此栏输入0以上数字。"
"Please enter a number lower than 100.","请输入小于100的数字。"
"Please enter a valid $ amount. For example $100.00.","请输入正确的金额。例如，$100.00"
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","请输入一个网址. 比如http://www.magentochina.org or www.magentochina.org"
"Please enter a valid URL. For example http://www.example.com or www.example.com","请输入正确的网址。例如http://www.example.com or www.example.com"
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","请输入正确的网址。协议(http://, https:// or ftp://)"
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","请输入一个有效的XML标识符。例如something_1, block5, id-4."
"Please enter a valid credit card number.","请输入正确的信用卡号码。"
"Please enter a valid credit card verification number.","请输入有效的信用卡确认数字"
"Please enter a valid date.","请输入正确的日期。"
"Please enter a valid day (1-%d).","请输入一个正确的天数 (1-%d)."
"Please enter a valid email address. For example johndoe@domain.com.","请输入一个正确的邮箱地址，例如 johndoe@domain.com."
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","请输入一个有效的传真号码。例如(123) 456-7890 or 123-456-7890."
"Please enter a valid full date","请输入一个有效的日期"
"Please enter a valid month (1-12).","请输入一个有效的月份(1-12)."
