"""%s"" contains not only digit characters.","""%s"" 不止包含数字。"
"""%s"" does not fit the entered date format.","""%s"" 不符合输入日期的格式"
"""%s"" exceeds the allowed file size.","""%s"" 超过了允许的文件大小。"
"""%s"" exceeds the allowed length.","""%s"" 超过了允许的长度。"
"""%s"" has not only alphabetic and digit characters.","""%s"" 不止是数字和字母。"
"""%s"" has not only alphabetic characters.","""%s"" 不止是字母。"
"""%s"" height exceeds allowed value of %s px.","""%s"" 高度超过了允许值 %s px."
"""%s"" invalid type entered.","""%s"" 非法输入类型。"
"""%s"" is a required value.","""%s"" 是要求的值"
"""%s"" is an empty string.","""%s"" 是空字符串。"
"""%s"" is not a valid URL.","""%s"" 不是合理的网址。"
"""%s"" is not a valid date.","""%s"" 不是合理的日期。"
"""%s"" is not a valid email address.","""%s"" 不是合理的邮件地址。"
"""%s"" is not a valid file","""%s"" 不是一个合理的文件"
"""%s"" is not a valid file extension.","""%s"" 不是合理的文件扩展。"
"""%s"" is not a valid file.","""%s"" 不是一个合理的文件。"
"""%s"" is not a valid hostname.","""%s"" 不是一个合理的主机名。"
"""%s"" is not a valid image format","""%s"" 不是合理的图片格式"
"""%s"" length must be equal to or greater than %s characters.","""%s"" 长度必须大于或等于 %s 个字符"
"""%s"" length must be less than or equal to %s characters.","""%s"" 长度必须小于或等于 %s 个字符。"
"""%s"" width exceeds allowed value of %s px.","""%s"" 宽度超过了允许值 %s px."
"* Required Fields","*必填栏目"
"A new password has been sent.","新的密码已经发出"
"ALL GROUPS","所有组"
"Account Dashboard","帐户面板"
"Account Information","帐户信息"
"Account Sharing Options","帐户共享选项"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","帐户确认是必要的。请检查您的确认链接的电子邮件。重新发送确认电子邮件请<a href=""%s"">点击这里</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","帐户确认是必要的。请检查您的确认链接的电子邮件。要重新发送确认电子邮件请<a href=""%s"">点击这里</a>."
"Action","操作"
"Add New Address","增加新的地址"
"Add New Customer","增加新的客户"
"Add New Customer Group","增加新的客户分组"
"Added From","加自"
"Additional Address Entries","其它地址项"
"Address","地址"
"Address Book","地址簿"
"Address Books","通讯簿"
"Address Information","地址信息"
"Address Templates","地址模板"
"Addresses","地址"
"Admin","管理员"
"All","所有"
"All Store Views","所有商店界面"
"All countries","所有国家"
"Always optional.","总是可选"
"Amount","金额"
"An error occurred while deleting the address.","删除时发生错误的地址。"
"An error occurred while retrieving the option value: %s.","检索时发生了一个错误的选择权价值：%s."
"An error occurred while saving the collection, aborting. Error: %s","储存时发生错误的收集，退出。错误：%s"
"An invalid option ID is specified for %s (%s), skipping the record.","ID指向%s (%s)无效，SKPPING纪录。"
"Approved","已批准"
"Are you sure that you want to remove this item?","您确认要删除该项目吗？"
"Are you sure you want to cancel adding of this address?","您确认要取消增加该地址吗？"
"Are you sure you want to delete this address?","您确认要删除该地址吗？"
"Are you sure?","您确定吗？"
"Array of Entity collections is expected.","需要实体组合的数组"
"Assign a Customer Group","指定客户分组"
"Attribute object is undefined","属性对象是不确定的"
"Average Sale","平均销售"
"Back","返回"
"Back - link to the previously viewed page","返回 -链接到以前浏览过的页面"
"Back to Login","返回登录"
"Bad request.","错误的请求。"
"Bill to Name","账单收件人"
"Bought From","购买自"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","注册您自己的帐户，结帐方便迅速，而且可以保存多个送货地址、查看订单状态等。"
"CSV","CSV"
"Cancel","取消"
"Cannot save address.","无法保存地址。"
"Cannot save the customer.","无法保存客户。"
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","客户帐户无法全局共享，因为部分客户帐户在在多个网站使用相同的电子邮件，记录无法合并。"
"Change Account Password","修改帐户密码"
"Change Billing Address","修改账单地址"
"Change Password","修改密码"
"Change Shipping Address","修改送货地址"
"City","城市"
"Company","公司"
"Config","设置"
"Configure","配置"
"Confirm New Password","确认新的密码"
"Confirm Password","确认密码"
"Confirmation Link Email","确认链接邮件"
"Confirmed","已验证"
"Contact Information","联系信息"
"Continue Shopping","继续购物"
"Country","国家"
"Create","创建"
"Create New Account Options","新帐户选项"
"Create New Customer Account","新建客户帐户"
"Create Order","创建订单"
"Create an Account","注册帐户"
"Create customer","创建客户帐户"
"Create customer address","创建客户地址"
"Current Password","当前密码"
"Customer","客户"
"Customer Account Edit Form","客户帐户编辑表单"
"Customer Account Login Form","客户帐户登录表单"
"Customer Account Logout Success","客户帐户注销成功"
"Customer Account Registration Form","客户帐户申请表"
"Customer Addresses","客户地址"
"Customer Api","客户Api"
"Customer Configuration","客户设置"
"Customer Forgot Password Form","客户忘记密码表单"
"Customer Group","客户分组"
"Customer Groups","客户分组"
"Customer Information","客户信息"
"Customer Login","用户名"
"Customer My Account (All Pages)","我的帐户（所有页面）"
"Customer My Account Address Book","帐户客户通讯录"
"Customer My Account Address Edit Form","帐户客户地址编辑表格"
"Customer My Account Dashboard","客户帐户控制面板"
"Customer Since","注册日期"
"Customer View","客户界面"
"Customer collection expected.","需要客户组合。"
"Customer email is required.","电子邮件是必需的。"
"Customer website ID must be specified when using the website scope.","使用网站范围时必须指定网站 id。"
"Customer will stay on the current page if ""No"" is selected.","如果选择"No"，客户将停在当前页。"
"Customers","客户"
"Customers Only","仅限客户"
"Customers Section","客户单元"
"DD","日"
"Date","日期"
"Date Added","添加日期"
"Date of Birth","出生日期"
"Day","日"
"Days in Wishlist","收藏的天数"
"Default Addresses","缺省地址"
"Default Billing Address","缺省账单地址"
"Default Email Domain","缺省邮件域名"
"Default Group","缺省分组"
"Default Shipping Address","缺省送货地址"
"Default Welcome Email","默认欢迎邮件"
"Delete","删除"
"Delete Address","删除地址"
"Delete Customer","删除客户"
"Delete Customer Group","删除客户分组"
"Delete customer","删除客户"
"Delete customer address","删除客户地址"
"Deleted Stores","删除商店"
"Details","详细"
"Disabled","未激活"
"Edit","修改"
"Edit Account Info","修改帐户信息"
"Edit Account Information","修改帐户信息"
"Edit Address","修改地址"
"Edit Address Entry","修改地址"
"Edit Customer Group ""%s""","修改客户分组""%s"""
"Edit Customer Groups","修改客户分组"
"Edit Customer's Address","修改客户地址"
"Edit Group","修改分组"
"Edit Newsletters","修改邮件列表"
"Email","电子邮件"
"Email Address","电子邮件地址"
"Email Sender","电子邮件发件人"
"Email:","Email:"
"Entity collection is expected.","需要实体组合"
"Entity instance is not defined","实体实例没有定义"
"Entity object is undefined","实体对象是不确定的"
"Excel XML","Excel XML"
"Failed to confirm customer account.","认证客户帐户失败"
"Fax","传真"
"First Name","姓氏"
"Forgot Email Sender","取回密码邮件的发件人"
"Forgot Email Template","取回密码邮件的模板"
"Forgot Your Password?","忘记密码了？"
"Form Fields Before","表单域前"
"Form code is not defined","表单的代码没有定义"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","在我的帐户面板中，您可以查看最近帐户访问情况、更新帐户信息。选择下面的链接查看或修改信息。"
"Gender","性别"
"General Subscription","通用信息订阅"
"Generate Human-Friendly Customer ID","创造人性化的客户ID"
"Global","全局"
"Grand Total","总额"
"Group","分组"
"Group Information","分组信息"
"Group Name","分组名称"
"Guest","访客"
"HTML","HTML"
"Hello, %s!","您好，%s!"
"ID","编号"
"IP Address","IP 地址"
"If you have an account with us, please log in.","如果您已有注册帐户，请登录。"
"Invalid attribute option specified for attribute %s (%s), skipping the record","属性 %s (%s)的属性选项不正确，忽略该记录"
"Invalid attribute set specified, skipping the record","指定的属性集不正确，忽略该记录"
"Invalid current password","当前密码不正确"
"Invalid customer data","客户数据不正确"
"Invalid email address.","电子邮件地址不正确"
"Invalid login or password.","电子邮件地址或密码不正确"
"Invalid store specified, skipping the record","指定的商店不正确，忽略该记录"
"Last Activity","最近访问"
"Last Date Subscribed","最后订阅日期"
"Last Date Unsubscribed","最后取消订阅日期"
"Last Name","名字"
"Last URL","最近URL地址"
"Leave empty for default (15 minutes).","留空则使用缺省设置（15分钟）。"
"Leave empty for default (2). Valid range: 1-4","留空则使用缺省值(2)。可用范围：1-4"
"Lifetime Sales","全部销售"
"Log In","用户登录"
"Log Out","安全退出"
"Login","登 录"
"Login Information","登录信息"
"Login Options","登陆项目"
"Login and password are required.","需要用户名和密码。"
"Login or Create an Account","登入或创建帐户"
"M.I.","M.I."
"MM","月"
"Manage Addresses","地址管理"
"Manage Customers","客户管理"
"Missing email, skipping the record","缺少电子邮件，忽略该记录"
