"* Select shipping method","* 选择配送方式"
"<br />Warning: <strong>%s</strong><br />","<br />警告: <strong>%s</strong><br />"
"<strong style=""color:red"">Warning!</strong> This option disables the merchant calculated shipping. With this option, Google API ignores any attempt to affect shipping prices.","<strong style=""color:red"">警告!</strong> 该选项禁止商家计算配送。 使用该选项，Google API 忽略所有影响配送价格的因素。"
"A virtual item to reflect the discount total","反映总折扣的虚拟条目"
"A virtual item to reflect the tax total","反映总税收的虚拟条目"
"AVS Status: %s","AVS 状态：%s"
"Add","添加"
"Add Shipping Method","增加配送方式"
"Allowed Methods","允许方式"
"Amount: %s","金额：%s"
"Auto-generated from GoogleCheckout Charge","从GoogleCheckout收费自动生成"
"Buyer Account Age: %s days","购货人帐户时间：%s天"
"CC Partial: xxxx-%s","部分信用卡号码: xxxx-%s"
"CID Status: %s","CID 状态： %s"
"Carrier Calculated Methods","承运商计算方法"
"Cart Discount","购物车折扣"
"Checkout Image Style","结帐图片格式"
"Continue Shopping URL","继续购物网址"
"Credit memo has been created automatically","付款通知已经自动创建"
"Debug","调试"
"Default Package Height (in)","缺省的包裹重量（内部）"
"Default Package Length (in)","缺省的包裹长度（内部）"
"Default Package Width (in)","缺省的包裹宽度（内部）"
"Default Price for Methods","缺省的配送方式价格"
"Default price:","缺省价格："
"Delivery Address Category","寄送地址分类"
"Delivery Schedule","交货计划"
"Disable Default Tax Tables","禁用默认税率表"
"Discount Tax","折扣税率"
"Eligible for Protection: %s","有效保护: %s"
"Enable","激活"
"Enable Carrier Calculated","激活计费运输                  "
"Enable Digital Delivery","启用数字投递"
"Enable Flat Rate","激活固定运费"
"Enable Merchant Calculated","启用商家计算"
"Enable this if your checkout request is too big and being cut off.","如果结帐请求因太长而被截断，启用此选项。"
"Expiration: %s","有效期：%s"
"Financial: %s -> %s","财务：%s -> %s"
"Free Shipping","免运费"
"Fulfillment: %s -> %s","实际：%s -> %s"
"Google API","Google API"
"Google Authorization:","Google 授权："
"Google Buyer ID: %s","Google 购物人编号：%s"
"Google Charge:","Google 收费:"
"Google Chargeback:","Google 退单:"
"Google Checkout","Google 结帐"
"Google Checkout Shipping - Carrier Calculated","Google 结帐 配送 - 快递计算"
"Google Checkout Shipping - Digital Delivery","Google 结帐 配送 - 数字投递"
"Google Checkout Shipping - Flat Rate","Google 结帐 运费 - 固定运费"
"Google Checkout Shipping - Merchant Calculated","Google 结帐 配送 - 商家计算"
"Google Checkout: %s","Google 结帐：%s"
"Google Order Number: %s","Google 订单号：%s"
"Google Order Status Change:","Google 订单状态改变:"
"Google Refund:","Google 退款："
"Google Risk Information:","Google 风险评估信息："
"Hide Cart Contents","隐藏购物车内容"
"IP Address: %s","IP 地址：%s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","启用此项，在购物车中点击 Google Checkout 按钮后购物车内容将会隐藏，若激活“编辑购物车”链接则恢复相关内容。"
"Invoice Auto-Created: %s","自动生成发票：%s"
"Is Buyer Willing to Receive Marketing Emails: %s","购物人是否希望接收到推销类邮件: %s"
"Large - %s","大尺寸 - %s"
"Latest Charge: %s","最近付款：%s"
"Latest Chargeback: %s","最近退单： %s"
"Latest Refund: %s","最近退款：%s"
"Location","地区"
"Medium - %s","中等尺寸 - %s"
"Merchant ID","商户编号"
"Merchant Key","商户密钥"
"Method","方法"
"New Order Status","新订单状态"
"No","否"
"Optional, leave empty for home page.","可选，留空为首页。"
"Rate 1 Amount","费率一 总额"
"Rate 1 Ship To Applicable Countries","费率一 寄送到相关国家"
"Rate 1 Ship to Specific Countries","费率一 寄送到特定国家"
"Rate 1 Title","费率一 标题"
"Rate 2 Amount","费率二 总额"
"Rate 2 Ship To Applicable Countries","费率二 寄送到相关国家"
"Rate 2 Ship to Specific Countries","费率二 寄送到特定国家"
"Rate 2 Title","费率二 标题"
"Rate 3 Amount","费率三 总额"
"Rate 3 Ship To Applicable Countries","费率三 寄送到相关国家"
"Rate 3 Ship to Specific Countries","费率三 寄送收到特定国家"
"Rate 3 Title","费率三 标题"
"Remove","删除"
"Required for live Google Checkout transactions.","Google Checkout 过程中必须的内容"
"Sandbox","沙盒模式"
"Secure Callback URL","安全回叫URL"
"Small - %s","小尺寸 - %s"
"The tax amount has been applied based on the information received from Google Checkout, because tax amount received from Google Checkout is different from the calculated tax amount","使用居于Google Checkout信息计算得到的税费，因为Google Checkout得到的税费与计算值不同。"
"Title","标题"
"Total Chargeback: %s","Total Chargeback: %s"
"Total Charged: %s","总付款：%s"
"Total Refunded: %s","总退款：%s"
"Transparent","透明背景"
"United Kingdom","英国"
"United States","美国"
"White Background","白色背景"
"Yes","是"
"You will be redirected to GoogleCheckout in a few seconds.","几秒钟后您将跳转到GoogleCheckout."
