
" in rows: "," 在行: "
"-- Please Select --","-- 请选择 --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","适配器必须是一个实例：Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter type must be a non empty string","适配器类型必须是一个非空的字符串"
"Can not determine attribute filter type","无法确定属性过滤器"
"Can not find required columns: ","找不到需要的列: "
"Can not get autoincrement value","无法取得自动增量值"
"Check Data","检查数据"
"Column names has duplicates","有重复的列名"
"Column names is empty or is not an array","列名称为空或不是一个数组"
"Column names: ""%s"" are invalid","列名: ""%s"" 无效"
"Continue","继续"
"Data is invalid or file is not uploaded","数据是无效或没有上传文件"
"Destination directory is not writable","目标目录是不可写"
"Destination file is not writable","目标文件不可写"
"Destination file path must be a string","目标文件的路径必须是一个字符串"
"Entity Attributes","实体属性"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","实体适配器对象必须是一个实例：Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown","实体是未知"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","实体型模式必须是一个实例：Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","实体型模式必须是一个实例：Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","数据结构错误：行为是混合"
"Error in data structure: entity codes are mixed","数据结构错误：实体代码混合"
"Export","导出"
"Export FAQ","导出FAQ"
"FAQ","FAQ"
"File does not contain data. Please upload another one","文件不包含数据。请上传一个"
"File format is unknown","文件格式是未知"
"File is partially valid, but import is not possible","文件部分有效，不能导入"
"File is totally invalid. Please fix errors and re-upload file","文件是完全无效的。请修复错误并重新上传文件"
"File is valid! To start import process press ""Import"" button","文件是有效的！要开始导入请按""导入""按钮"
"File is valid, but import is not possible","文件有效,但是不能导入"
"Header column names already set","数据的标题栏已经设置"
"Import","导入"
"Import / Export FAQ (Frequently Asked Questions)","导入/导出 FAQ (常见问题)"
"Import FAQ","导入FAQ"
"Import successfully done.","导入成功."
"Import/Export","导入/导出"
"In/Out","进/出"
"Input entity code is not equal to entity adapter code","输入代码不等于实体适配器代码"
"Invalid entity","无效的实体"
"Invalid file format","无效的文件格式"
"Invalid parameters","无效的参数"
"Invalid seek position","寻找位置无效"
"Invalid value for '%s'","值无效：'%s'"
"No filter data provided","没有提供过滤数据"
"No source specified","源没有指定"
"No valid data sent","没有有效的数据传送"
"No writer specified","写入没有指定"
"Node does not has model token tag","节点不具有象征性标记模型"
"Not implemented yet","尚未实现"
"Please fix errors and re-upload file","请修复错误并重新上传文件"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","请修复错误并重新上传文件或直接按 ""导入"" 按钮来跳过错误的行"
"Some other FAQ","一些其他的FAQ"
"Source file moving failed","源文件移动失败"
"Source file path must be a string","源文件的路径必须是一个字符串"
"Source is not set","源未设置"
"Status","状态"
"System busy","系统忙"
"There are no product types available for export","没有可以导出的产品"
"Total size of uploadable files must not exceed %s","上传文件大小不能超过%s"
"Uploaded file has no extension","上传的文件没有扩展名"
"Validation Results","验证结果"

