"%s %s cycle.","%s %s 循环。"
"--Please Select--","--请选择--"
"3D Secure Card Validation","3D安全卡验证"
"3D Secure Credit Card Validation","3D安全信用卡验证"
"<label>Make Check payable to:</label> %s","<label>支票收款人</label> %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","实时模式需要一个值。请参考您与CardinalCommerce的协议。"
"Allow Initial Fee Failure","允许初始费用失败"
"An internal reference ID is required to save the payment profile.","存储支付信息需要一个内部编号。"
"Auto Bill on Next Cycle","给下一循环自动生成账单"
"Automatically Invoice All Items","所有商品自动生成发票"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","自动把未清余额计入下一个账单周期(如果支付失败)。"
"Billing Agreement status is not set.","未设置自动扣款状态。"
"Billing Amount","账单金额"
"Billing Frequency","账单频率"
"Billing Period","账单间隔"
"Billing Period Unit","账单间隔单位"
"Billing period unit is not defined or wrong.","<账单间隔单位>未定义或者出错。"
"Cannot retrieve payment method instance.","无法获取支付方式实例。"
"Cannot retrieve the payment info model object.","无法获取支付信息模块对象。"
"Cannot retrieve the payment method model object.","无法获取支付方式模块对象。"
"Card Verification Number","信用卡校验号"
"Centinel API URL","API地址标识"
"Check / Money Order","支票/汇票"
"Credit Card Number","信用卡号码"
"Credit Card Number: xxxx-%s","信用卡号码: xxxx-%s"
"Credit Card Type","信用卡类型"
"Credit Card Type: %s","信用卡类型：%s"
"Credit Card Types","信用卡类型"
"Currency","货币"
"Currency code is undefined.","货币代码未定义。"
"Customer ID is not set.","顾客编号未定义。"
"Day","天"
"Debug Mode","调试模式"
"Enabled","已启用"
"Expiration Date","终止日期"
"Expiration Date: %s/%s","终止日期：%s/%s"
"Full name of the person receiving the product or service paid for by the recurring payment.","定期扣款商品或服务的接收者的全名。"
"Initial Fee","初始费用"
"Initial non-recurring payment amount due immediately upon profile creation.","建立项目的一次性初始付款额。"
"Internal Reference ID","内部关联编号"
"Issue Number","问题编号"
"Make Check Payable to","支票收款人"
"Make Check payable to:","支票收款人："
"Make Check payable to: %s","支票收款人： %s"
"Maximum Billing Cycles","账单循环最高次数"
"Maximum Order Total","最大订单金额"
"Maximum Payment Failures","支付失败最高次数"
"Maximum Trial Billing Cycles","试用循环最高次数"
"Merchant Id","商家编号"
"Minimum Order Total","最低订单金额"
"Month","月份"
"N/A","不可用"
"Name on Card","持卡人姓名"
"Name on the Card","持卡人姓名"
"Name on the Card: %s","持卡人姓名：%s"
"New Order Status","新订单状态"
"Number of billing periods that make up one billing cycle.","构成一个结算周期的计费周期数。"
"Overrides API URL that may be specified by a payment method.","忽略由支付方式指定的API URL"
"Password","密码"
"Payment ID: %s","支付网关编号: %s"
"Payment Method","支付方式"
"Payment Methods","支付方式"
"Payment Methods Section","支付方式单元"
"Payment Reference ID","支付网关关联编号"
"Payment Services","支付网关服务"
"Payment from Applicable Countries","支付来自可选的国家"
"Payment from Specific Countries","支付来自指定国家"
"Payment method code is not set.","支付方式代码未设定。"
"Payment method code is undefined.","支付方式代码未定义。"
"Payment profile is invalid:\n%s","支付配置文件无效：\n%s"
"Period frequency is wrong.","时间间隔错误。"
"Processor Id","流水号"
"Purchase Order","购物订单"
"Purchase Order Number","购物订单号"
"Purchase Order Number:","购物订单号："
"Purchase Order Number: %s","购物订单号:%s"
"Recurring Profile Start Date","定期支付开始日期"
"Recurring profile start date has invalid format.","定期支付开始日期格式无效。"
"Reference ID is not set.","关联编号未设置。"
"Repeats %s time(s).","重复%s次。"
"Repeats until suspended or canceled.","重复直到手动暂停或者取消。"
"Request Card Security Code","请求信用卡安全码"
"Saved CC","已保存CC"
"Schedule Description","时刻表描述"
"Schedule description must be not empty.","时刻表描述不能为空。"
"Send Check to","支票寄给"
"Send Check to:","支票寄给："
"Severe 3D Secure Card Validation","严格3D信用卡验证"
"Severe validation removes chargeback liability on merchant.","确认以移除卖方的退款责任。"
"Shipping Amount","配送金额"
"Short description of the recurring payment. By default equals to the product name.","定期付款简要描述。默认为商品名字。"
"Sort Order","排序"
"Start Date","开始时间"
"Start date has invalid format.","开始时间格式无效。"
"Start date is undefined.","开始时间未定义。"
"Subscriber Name","订阅者名字"
"Switch/Solo/Maestro Issue Number","Switch/Solo/Maestro Issue Number"
"Switch/Solo/Maestro Only","Switch/Solo/Maestro Only"
"Switch/Solo/Maestro Start Date","Switch/Solo/Maestro Start Date"
"Tax Amount","税额"
"Test Mode","测试模式"
"The date when billing for the profile begins.","对此项目开始记帐的日期。"
"The number of billing cycles for payment period.","对于支付间隔的账单循环数。"
"The number of scheduled payments that can fail before the profile is automatically suspended.","在此项目自动暂停前允许的计划扣款失败次数。"
"The payment review action is unavailable.","对付款方式的评价功能不可用。"
"Title","标题"
"Trial Billing Amount","测试账单帐户"
"Trial Billing Frequency","测试账单频率"
"Trial Billing Period Unit","测试账单间隔单位"
"Trial Period","测试间隔"
"Trial billing amount is wrong.","测试账单帐户错误。"
"Trial billing period unit is wrong.","测试账单间隔单位错误。"
"Trial period frequency is wrong.","测试间隔频率错误。"
"Trial period max cycles is wrong.","测试间隔的最大循环数错误。"
"Two Weeks","两周"
"Unable to save Billing Agreement:","不能保存定期付款。"
"Unit for billing during the subscription period.","订阅期内的计费单位。"
"Unsupported currency code: %s.","不支持的货币代码： %s."
"Week","周"
"What is this?","这是什么？"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","如果初始费用扣款失败，暂停定期付款项目，还是计入未付余额。"
"Wrong %s specified.","错误的 %s 被指定。"
"Wrong or empty billing amount specified.","错误或空的账单金额被指定。"
"Year","年份"
"Zero Subtotal Checkout","零金额结帐"
