"Add Recipient","增加收件人"
"Allow for Guests","允许访客"
"An invalid email address for recipient was entered.","收件人的邮件地址不合理。"
"At least one recipient must be specified.","至少必须指定一个收件人。"
"Back","返回"
"Catalog Product Email to a Friend","发送产品目录给朋友"
"Email Address","电子邮件"
"Email Address:","电子邮件："
"Email Templates","电子邮件模板"
"Email to a Friend","发邮件给朋友"
"Email:","电子邮件："
"Enabled","启用"
"Invalid Sender Information","不合理的发信人信息"
"Invalid sender email.","不合理的发信人邮件。"
"Limit Sending By","发送限制机制"
"Max Products Sent in 1 Hour","1小时内最多发送的商品数"
"Max Recipients","最多收件人"
"Maximum %d email addresses allowed.","最多允许%d个邮件地址。"
"Message:","内容:"
"Name","姓名"
"Name:","姓名："
"No more than %d emails can be sent at a time.","同时不能发送超过 %d 份邮件。"
"Please define a correct Cookie instance.","请您定义正确的Cookie实例。"
"Please define a correct Product instance.","请您定义正确的产品实例。"
"Please define the correct Sender information.","请您定义正确的发信人信息。"
"Recipient:","收件人："
"Remove Email","删除邮件"
"Select Email Template","选择邮件模板"
"Send Email","发送邮件"
"Send product to a friend","发送商品给朋友"
"Sender:","发件人:"
"Some emails were not sent.","部分邮件没有发送。
"The link to a friend was sent.","指向朋友的链接已经发送。"
"The message cannot be empty.","信息不能为空。"
"The messages cannot be sent more than %d times in an hour","每小时发送邮件不能超过 %d 次"
"The sender name cannot be empty.","发信人的名称不能为空。"
"There were some problems with the data.","部分数据错误。"
"You have exceeded limit of %d sends in an hour","您已经超过了每小时 %d 封邮件的限制"
