"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","'*' - 符合所有; 'xyz*' - 符合所有开头为 'xyz' 且不长于 %d。"
"-- Please Select --","-- 请选择 --"
"Add New Class","增加新杂费种"
"Add New Tax Rate","增加新杂费率"
"Add New Tax Rule","增加新杂费则"
"After Discount","折扣后"
"An error occurred while deleting this rate.","删除杂费率出错。"
"An error occurred while deleting this rate. Incorrect rate ID.","删除杂费率出错。 错误杂费率ID."
"An error occurred while deleting this tax class.","删除杂费出错。"
"An error occurred while deleting this tax rule.","删除杂费规则出错。"
"An error occurred while saving this rate.","保存杂费率出错。"
"An error occurred while saving this tax class.","保存杂费出错。"
"An error occurred while saving this tax class. A class with the same name already exists.","保存杂费出错。相同名字已经存在。"
"An error occurred while saving this tax rule.","保存杂费规则出错。"
"Apply Customer Tax","使用客户杂费"
"Apply Discount On Prices","应用折扣到价格"
"Apply Tax On","对如下价格计算杂费收"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected."," 如果选中 ""折扣后计税"" 将基于商店的税率计算含税价格的折扣。"
"Are you sure you want to do this?","您确认要这么做吗？"
"Back","返回"
"Before Discount","折扣前"
"CSV","CSV"
"Calculation Settings","计算设置"
"Catalog Prices","目录价格"
"Class Name","杂费种名称"
"Code","代码"
"Country","国家"
"County","国家"
"Custom price if available","自定义价格（若有）"
"Customer Tax Class","客户杂费种"
"Customer Tax Class Information","客户杂费种信息"
"Customer Tax Classes","客户杂费种"
"Default Country","默认国家"
"Default Post Code","默认邮编"
"Default State","默认州、省"
"Default Tax Destination Calculation","默认杂费收地计算"
"Delete Class","删除杂费种"
"Delete Rate","删除杂费率"
"Delete Rule","删除杂费则"
"Display Full Tax Summary","显示完整杂费收说明"
"Display Prices","显示价格"
"Display Product Prices In Catalog","显示目录产品价格"
"Display Shipping Amount","显示运费"
"Display Shipping Prices","显示配送价格"
"Display Subtotal","显示小计"
"Display Zero Tax Subtotal","显示不含杂费总额"
"Edit Class","修改杂费率"
"Edit Class '%s'","修改杂费种'%s'"
"Edit Rule","修改杂费则"
