"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s 已经添加到收藏， 点 <a href=""%2$s"">这里</a> 继续购物"
"%1$s has been updated in your wishlist.","%1$s 已经更新到收藏。"
"%d product(s) have been added to shopping cart: %s.","%d个产品已经添加到购物车: %s."
"%s for ""%s"".","%s for ""%s""."
"%s's Wishlist","%s的收藏"
"* Required Fields","必填栏目"
"Add All to Cart","全部加入购物车"
"Add to Cart","加入购物车"
"Add to Compare","加入比较"
"Add to Wishlist","加入收藏"
"Added From","加入自"
"Added On","加入日期"
"An error occurred while adding item to wishlist.","增加条目到收藏时出错。"
"An error occurred while adding item to wishlist: %s","增加条目到收藏时出错： %s"
"An error occurred while deleting the item from wishlist.","从收藏删除条目时出错。"
"An error occurred while deleting the item from wishlist: %s","从收藏删除条目时出错： %s"
"An error occurred while updating wishlist.","An error occurred while updating wishlist."
"Are you sure you want to remove this product from your wishlist?","您确认要从收藏中删除本商品吗？"
"Are you sure you would like to remove this item from the wishlist?","您确认要从收藏中删除本商品吗？"
"Back","返回"
"Can\'t delete item from wishlist","无法从收藏删除条目"
"Can\'t save description %s","无法保存说明%s"
"Can\'t update wishlist","无法更新收藏"
"Cannot add item to shopping cart","无法添加到购物车"
"Cannot add the item to shopping cart.","无法添加该条目到购物车。"
"Cannot configure product","无法设置产品"
"Cannot create wishlist.","无法创建收藏夹。"
"Cannot load wishlist item","无法加载收藏条目"
"Cannot specify product.","无法指定产品。"
"Cannot specify wishlist item.","无法指定收藏条目。"
"Cannot specify wishlist.","无法指定收藏夹。"
"Cannot update wishlist","无法更新收藏夹"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","如果您想增加RSS源的链接到收藏夹，请选中该复选框"
"Comment","评论"
"Comment:","评论:"
"Configure Wishlist Item","设置收藏条目"
"Configured Price:","设置价格："
"Customer My Account My Wishlist","Customer My Account My Wishlist"
"Customer My Account Wishlist Sharing Form","Customer My Account Wishlist Sharing Form"
"Customer Shared Wishlist View","Customer Shared Wishlist View"
"Date Added","添加日期"
"Days in Wishlist","收藏天数"
"Display Wishlist Summary","显示收藏夹摘要"
"Edit","编辑"
"Email Sender","发件人"
"Email Template","邮件模板"
"Email address can\'t be empty.","邮件地址不能为空."
"Email addresses, separated by commas","多个邮件地址,请用逗号分开"
"Enabled","启用收藏"
"General Options","基本选项"
"Go to Wishlist","转到收藏"
"Helper for wishlist options rendering doesn't implement required interface.","收藏选项渲染帮助没有加载要求的界面。"
"Last Added Items","最后增加的商品"
"Message","内容"
"My Wishlist","我的收藏"
"My Wishlist (%d item)","我的收藏 (%d件商品)"
"My Wishlist (%d items)","我的收藏 (%d items)"
"My Wishlist <small>(%d)</small>","我的收藏 <small>(%d)</small>"
"My Wishlist Link","我的收藏夹链接"
"Options Details","选项细节"
"Out of stock","缺货"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","请输入有效的电子邮件地址，逗号分开。例如：samshuai@Magentochina.org, johnsmith@domain.com"
"Please input a valid email address.","请输入一个有效的电子邮件地址."
"Please, enter your comments...","请输入您的评论..."
"Product","商品"
"Product(s) %s have required options. Each of them can be added to cart separately only.","产品 %s 有要求的选项。 每个条目只能单独添加到收藏夹。"
"RSS Feed","RSS 订阅"
"RSS link to %s's wishlist","RSS 链接到%s的收藏"
"Remove Item","删除商品"
"Remove This Item","删除这项"
"Remove item","删除这项"
"Share Options","共享选项"
"Share Wishlist","共享收藏"
"Share Your Wishlist","共享您能的收藏"
"Sharing Information","共享信息"
"This product(s) is currently out of stock","本商品缺货"
"Unable to add the following product(s) to shopping cart: %s.","无法添加以下产品到购物车: %s."
"Update Wishlist","更新收藏"
"User description","用户描述"
"View Details","查看细节"
"View Product","查看商品"
"Wishlist","收藏"
"Wishlist Section","收藏单元"
"Wishlist Sharing","收藏共享"
"Wishlist is empty now.","收藏为空。"
"You have no items in your wishlist.","您的收藏中没有商品。"
"Your Wishlist has been shared.","成功共享您的收藏。"
